1785421557409747181 cluster=intermediate_queue_0 done=247 window_fps=11.44
1785421560148536009 cluster=intermediate_queue_0 done=248 window_fps=10.82
1785421565598477502 cluster=intermediate_queue_0 done=249 window_fps=10.33
1785421568160735023 cluster=intermediate_queue_0 done=250 window_fps=10.79
1785421569508718930 cluster=intermediate_queue_0 done=251 window_fps=11.08
1785421572116207196 cluster=intermediate_queue_0 done=252 window_fps=11.33
1785421578698046857 cluster=intermediate_queue_0 done=253 window_fps=9.94
1785421579097732853 cluster=intermediate_queue_0 done=254 window_fps=10.87
1785421579163943902 cluster=intermediate_queue_0 done=255 window_fps=11.56
1785421587023810121 cluster=intermediate_queue_0 done=256 window_fps=10.10
1785421587432771382 cluster=intermediate_queue_0 done=257 window_fps=11.10
1785421590449878840 cluster=intermediate_queue_0 done=258 window_fps=10.90
1785421594821215472 cluster=intermediate_queue_0 done=259 window_fps=10.46
1785421597899376731 cluster=intermediate_queue_0 done=260 window_fps=10.51
1785421599897076676 cluster=intermediate_queue_0 done=261 window_fps=11.27
1785421601720483932 cluster=intermediate_queue_0 done=262 window_fps=10.83
1785421608233372496 cluster=intermediate_queue_0 done=263 window_fps=9.98
1785421609790725480 cluster=intermediate_queue_0 done=264 window_fps=10.86
1785421609827757488 cluster=intermediate_queue_0 done=265 window_fps=11.52
1785421616218017631 cluster=intermediate_queue_0 done=266 window_fps=10.28
1785421618649611313 cluster=intermediate_queue_0 done=267 window_fps=10.32
1785421619203800163 cluster=intermediate_queue_0 done=268 window_fps=11.85
1785421626635489234 cluster=intermediate_queue_0 done=269 window_fps=10.10
1785421627926353170 cluster=intermediate_queue_0 done=270 window_fps=9.84
1785421627965507084 cluster=intermediate_queue_0 done=271 window_fps=11.72
1785421634595739523 cluster=intermediate_queue_0 done=272 window_fps=10.18
1785421636646742690 cluster=intermediate_queue_0 done=273 window_fps=10.39
1785421637320362834 cluster=intermediate_queue_0 done=274 window_fps=11.29
1785421643449199801 cluster=intermediate_queue_0 done=275 window_fps=10.54
1785421645669066165 cluster=intermediate_queue_0 done=276 window_fps=10.49
1785421646066692028 cluster=intermediate_queue_0 done=277 window_fps=10.82
1785421652585909540 cluster=intermediate_queue_0 done=278 window_fps=10.82
1785421653180833241 cluster=intermediate_queue_0 done=279 window_fps=11.06
1785421656987625427 cluster=intermediate_queue_0 done=280 window_fps=10.18
1785421660509706279 cluster=intermediate_queue_0 done=281 window_fps=10.84
1785421662622253016 cluster=intermediate_queue_0 done=282 window_fps=10.92
1785421667034612043 cluster=intermediate_queue_0 done=283 window_fps=10.04
1785421668188238064 cluster=intermediate_queue_0 done=284 window_fps=11.55
1785421670403047125 cluster=intermediate_queue_0 done=285 window_fps=11.30
1785421676785697755 cluster=intermediate_queue_0 done=286 window_fps=9.83
1785421676860030444 cluster=intermediate_queue_0 done=287 window_fps=11.36
1785421678318240280 cluster=intermediate_queue_0 done=288 window_fps=11.52
1785421685634043123 cluster=intermediate_queue_0 done=289 window_fps=9.94
1785421686808309373 cluster=intermediate_queue_0 done=290 window_fps=11.07
1785421687337662792 cluster=intermediate_queue_0 done=291 window_fps=11.52
1785421693303803822 cluster=intermediate_queue_0 done=292 window_fps=10.16
1785421694644163399 cluster=intermediate_queue_0 done=293 window_fps=11.41
1785421696641902194 cluster=intermediate_queue_0 done=294 window_fps=11.04
1785421701029134086 cluster=intermediate_queue_0 done=295 window_fps=10.90
1785421702970725158 cluster=intermediate_queue_0 done=296 window_fps=11.30
1785421706473880221 cluster=intermediate_queue_0 done=297 window_fps=10.95
1785421710709341280 cluster=intermediate_queue_0 done=298 window_fps=10.99
